26.70 - 28291    - CREATE - ./simpledu, test, -b
120.33 - 28458    - SEND_PIPE - 1827
120.35 - 28458    - EXIT - 0
120.70 - 28437    - RECV_PIPE - 1827
120.95 - 28459    - CREATE - 
121.05 - 28459    - SEND_PIPE - 1326
121.07 - 28459    - EXIT - 0
121.31 - 28437    - RECV_PIPE - 1326
121.55 - 28460    - CREATE - 
121.66 - 28460    - SEND_PIPE - 491
121.68 - 28460    - EXIT - 0
121.91 - 28437    - RECV_PIPE - 491
122.22 - 28461    - CREATE - 
122.36 - 28461    - SEND_PIPE - 1060
122.38 - 28461    - EXIT - 0
122.92 - 28437    - RECV_PIPE - 1060
123.21 - 28462    - CREATE - 
123.31 - 28462    - SEND_PIPE - 1405
123.33 - 28462    - EXIT - 0
123.53 - 28437    - RECV_PIPE - 1405
123.70 - 28463    - CREATE - 
123.78 - 28463    - SEND_PIPE - 502
123.79 - 28463    - EXIT - 0
123.93 - 28437    - RECV_PIPE - 502
124.05 - 28464    - CREATE - 
124.11 - 28464    - SEND_PIPE - 427
124.12 - 28464    - EXIT - 0
124.25 - 28437    - RECV_PIPE - 427
124.38 - 28465    - CREATE - 
124.45 - 28465    - SEND_PIPE - 3439
124.46 - 28465    - EXIT - 0
124.58 - 28437    - RECV_PIPE - 3439
124.70 - 28466    - CREATE - 
124.79 - 28466    - SEND_PIPE - 3541
124.80 - 28466    - EXIT - 0
124.96 - 28437    - RECV_PIPE - 3541
125.14 - 28467    - CREATE - 
125.28 - 28467    - SEND_PIPE - 534
125.30 - 28467    - EXIT - 0
125.69 - 28437    - RECV_PIPE - 534
126.03 - 28468    - CREATE - 
126.17 - 28468    - SEND_PIPE - 517
126.19 - 28468    - EXIT - 0
